Team,Accuracy,F1-Score
MalakMohamedAhmed,93.44,90.66
MahmoudHanySalem,89.86,87.5
mariam-essam2,89.66,85.94
Menna-Mahmoud1,87.67,85.29
mennataha511-dotcom,85.88,84.57
mentae55,84.69,81.15
marawan2005,82.7,79.62
mariammoatazmokhtar-crypto,81.71,78.32
dewidar00,81.51,77.33
malakRamadan0,69.98,66.48
Maryam-Aly,69.18,62.19
mennahussein21,65.01,58.67
MalakMohamed44,62.82,54.49
Swilem987,21.27,9.53
